site,AegiCaud,AlauArve,AnthTriv,CertFami,ColuPalu,CorvCora,CucuCano,DryoMart,EritRube,FiceAlbi,FiceParv,FrinCoel,LoxiCurv,ParuAter,ParuCris,ParuMajo,ParuMont,PhoePhoe,PhylColl,PhylSibi,PhylTro,PrunModu,PyrrPyrr,ReguRegu,ReguIgni,SittEuro,SylvAtri,TrogTrog,TurdMeru,TurdPhil,TurdVisc,TurdTorq,CardSpin,Regu_sp.,ParuPalu,MotaCine,OriOri
R1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,1.5,0,0,3,0.5,2,0,0,0.8,0,0.5,0,0.5,1,0.5,1,0,0,0.5,0,0.8,0,0,0.3,0,0,0,0,0
R3,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0.5,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0.5,0,0,0.5,0,0.5,0.3,0.5,0.5,0,0
R4,0,0,0,0,0,0,0,0,1.5,0,0,2.8,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.3,0.5,0,0
R5,0,0,0,0,0,0,0.5,0,1,0,0,2.3,0,0.3,0,0.3,0.5,0,0.5,0,0,1,0,1.5,0,0,0.5,0,0,0,0,0,0.8,0,0,0.5,0
R6,0,0,0,0,0,0,0,0,2,0,0,2.3,0,1.5,0,0,0,0,1,0.5,0,0.5,0.3,0.5,0,0,1.5,0.5,0.5,0,0,0,0,0,0,0,0
R7,0,0,0,0,0.5,0,0,0,1,0,0,2,0,1.5,0.3,0,0,0,0.5,0.3,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.3,0,0.5,0,0,0,0,0
R8,0,0,0,0,0.3,0,0,0,0.5,0,0,3.3,0.5,1.8,1,0,0.8,0,0,0,0,0,0.5,0.5,0.5,0,1,0,0,0,0,0.5,0,0.5,0,0,0
R9,0,0,0,0,0,0,0.5,0.3,1.5,1,0,2.5,0,1,0,0.5,0.5,0.5,0.5,0,0,1.5,0,0,0,0,1.5,0.5,1.5,0,0,0,0,0,0,0,0
R10,0,0,0,0,0,0,0.5,0,1,0,0,2.8,0,1.5,0,0,0,0.5,1,0,1,0.5,0,0.5,0,0,1,0,1,0.5,0.3,0,0,0,0,0,0
R11,0,0,0,0,0,0,0.5,0,1,0,0,3,0.5,0.8,0,0,0,0,0.5,0,0,1,0.8,0.3,0,0,0,0,0.5,0,0,1.3,0.3,0,0,0,0
R12,0,0,0,0,0,0,0.5,0.5,1.5,0,0,2.8,0,0,0,0,0,0,0.5,0,0,2,0.3,0.8,0,0,1.5,0,1,0.5,0,0.5,0,0,0,0,0
R13,0,0,0.5,0,0,0,0.5,0,1,0.5,0,2.3,0,0,0,0,0,1,0.5,0,0.5,1,0.5,0,0,0,2,1,1,0,0,0.3,0,0,0,0,0
R14,0,0,0,0,0,0,0.5,0,1.5,0,0,1,0,0.5,0,0,0,1,1,0,1.8,1,0.3,0,0,0,1.5,0.5,0.5,0.5,0,1,0,0,0,0,0
R15,0,0,1,0,0,0.3,0.5,0,1,0,0,2.5,0,1.5,0,0,0,0,0.5,0,1,0.5,0.3,0,0,0.3,0,0,1.5,0,0,0.5,0,0,0,0,0
R16,0,0,0.5,0,0,0,0.5,0,0.5,0,0,2.5,0,1,0,0,0,0,0.5,0,1,2,0.5,0.5,0,0,0.5,0,0.5,0,0,1.3,0,0,0,0,0
R17,0,0,0.5,0.5,0,0,1,0,2,0,0,3.5,0,0.8,0,0,0,0.5,0.5,0,0,1.5,0.5,0,0,0,0,0.5,0,0.5,0,1.3,0.3,0.3,0,0,0
R18,0,1,2,0,0,0.3,1,0,1,0,0,1.8,0,0.5,0,0,0,0,0.5,0,0,2,0,0.5,0,0,0,0,0.5,0,0,1.5,0,0,0,0,0
R19,0,0,0,0,0,0,0,0,0.5,0,0,3,0,0.3,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,1,0.5,0,0,0,0,0.5,0,0,0.5,0
R20,0,0,1.5,0,0,0.5,1,0,2,0,0,3.8,0,0,0,0.5,0,0,1,0,0.5,1,0.8,0,0,0,1,0.5,0.5,0,0,2,0,0,0,0,0
R21,0,0.5,1.5,0,0.5,0,1,0,0.5,0,0,2.5,0.5,0.5,0,0,0.8,0,1,0,0.5,0.5,1.5,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0
R27,0,0,0,0,0,0,0,0,1,0,0,1.8,0,0.5,0.5,0,0,0,0,0,0,1,0,0,1,0,1.5,0.5,0.8,0,0,0,0.5,0,0,0,0
R28,0,0,0,0,0,0,0.5,0,1,0,0,2.5,0,1,0,0,0.5,0,0.5,1,0,0.5,1,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0
R29,0,0,0,0,0.5,0.3,1,0,1.5,0,0,4,0,0.8,0,0,0.5,0,1.5,0.8,0,1,0,0,0,0,1,0,0.8,0,0,0,0,0,0,0,0.3
R30,0,0,1,0,0,0,1.5,0,1.5,0,0,2.5,0,1.3,0,0,0,0,0,0,0.5,1,0.5,0.5,0,0,0,0.5,1.5,1,0,2,0,0.3,0,0,0
R31,0,0,0.3,0,0,0,1,0,1,0,0,3.5,0,1.8,0,0,0,0,1,0,0,1.5,1,1,0,0,1,0,1.5,0,0,1,0,0,0,0,0
R32,0,0.5,2.3,0,0,0,1,0,0.3,0,0,2.5,0.3,1.5,0,0,0,0.5,0.5,0,1,1,1.5,0,0,0,0.5,0,1.5,0.3,0,1,0.3,0,0,0,0
R37,0,0,0,0,0,0,0.5,0,1,0,0,2.3,0,0.5,0,0,0,0,0.5,1.5,0,1,0,0,0,0,1.5,0,1,0,0,0,0,0,0,0,0
R38,0.3,0,0,0,0,0,0.5,0,1.5,0,0,3,0,0.8,0,0,0,0,1,0.5,0.5,1,0,0.5,0,0,1.5,0,0.3,0,0,0.5,0.3,0,0,0,0
R39,0,0,0,0,0,0.3,0.5,0,1.5,0,0,3,0,0.8,0,0,0.5,0,1.5,0.5,0,1,1,0.8,0,0,1.5,0,0.8,0.5,0,0,0,0.3,0,0,0
R40,0,0,0.5,0,0.5,0,1,0,1.5,0,0,2.8,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,1.5,0.5,0.5,0.5,0,0,0.3,0.3,0,0,0
R41,0,0,0.5,0,0,0,0,0,1.5,1,0,2.8,0,0.5,0,0.5,0,0.5,1,0,0.5,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0
R42,0,0,0.5,0.5,0,0,0,0,0.5,1,0,4.3,0,0.8,0,0.5,0,0,0.5,1,0,0,0.3,1,0,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0
R43,0,0,0.5,0,0,0,0,0,1,1.3,0,2.8,0,0,0,1.3,0,1,0.5,1,0.5,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
R46,0,0,0,0,0,0,0,0,0.5,0.5,0.5,3.5,0,0.5,0,0,0,0,0.5,0.8,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0
R47,0,0,0,0,0,0.3,0.5,0,1,0,0.5,2.5,0,1,0,0,0,0,0,0.3,0,0.5,0.8,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0
R48,0,0,0,0,0.5,0,0,0,1.5,0,0,3,0,1.3,0,0,0,0,1,0,0.5,0.5,0.8,0,0,0,1,0.5,0.5,0.5,0,0,0,0,0,0,0.5
R49,0,0,0,0,0.3,0,0.5,0,2,0,0,0.5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0.5,0.3,0,0.3,0,0,0,0,0,0
R50,0,0,0,0,0,0,0,0,0.5,1.5,0,1.8,0,0.3,0,0,0,0,0,0.5,0,1.5,0,0,0,0.5,1.5,1.5,0,0,0,0,0,0,0,0,0
R51,0,0,0,0,0,0,0,0,1,0,0,2.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0
R54,0,0,0,0,0,0,0,0,1,0,0.5,2.8,0,0.5,0,0,0.3,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1.3,0,0,0,0,0,0,0.3,0
R55,0.3,0,0,0,0,0,0.5,0,1,0,0,2,0,1.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.3
R56,0,0,1,0,0,0,0,0,2,0,0,1.5,0,1,0,0,0,0,1.5,0.5,1,1,0,0.5,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0