Ma,NH4,Phaeoa,Prod,X,Y
10.003,0.307,0.184,0.274,-8.75,3.7
9.999,0.207,0.212,0.213,-6.75,2.7
9.636,0.140,0.229,0.134,-5.75,1.7
8.331,1.371,0.287,0.177,-5.75,3.7
8.929,1.447,0.242,0.091,-3.75,2.7
8.839,0.668,0.531,0.272,-2.75,3.7
7.784,0.300,0.948,0.460,-1.75,0.7
8.023,0.329,1.389,0.253,-0.75,-0.3
8.294,0.207,0.765,0.235,0.25,-1.3
7.883,0.223,0.737,0.362,0.25,0.7
9.741,0.788,0.454,0.824,0.25,2.7
8.657,1.112,0.395,0.419,1.25,1.7
8.117,1.273,0.247,0.398,3.25,-4.3
8.117,0.956,0.449,0.172,3.25,-2.3
8.487,0.708,0.457,0.141,3.25,-1.3
7.955,0.637,0.386,0.360,4.25,-5.3
10.545,0.519,0.481,0.261,4.25,-4.3
9.687,0.247,0.468,0.450,4.25,-2.3
8.700,1.664,0.321,0.287,5.25,-0.3
10.240,0.182,0.380,0.510,6.25,-2.3